,Year,Bachelor,1 Bedroom,2 Bedroom,3+ Bedroom,Total
0,1990,454,559,689,842,634
1,1991,482,592,730,888,672
2,1992,493,610,755,905,691
3,1993,510,627,773,930,710
4,1994,516,641,785,946,722
5,1995,531,661,805,965,741
6,1996,541,675,819,988,755
7,1997,555,685,822,989,762
8,1998,589,729,881,1053,813
9,1999,628,770,916,1086,850
10,2000,683,830,979,1170,913
11,2001,695,866,1027,1218,954
12,2002,729,891,1047,1257,981
13,2003,731,884,1040,1223,970
14,2004,727,886,1052,1245,980
15,2005,724,888,1052,1248,979
16,2006,740,896,1067,1271,995
17,2007,740,900,1061,1261,992
18,2008,764,927,1095,1293,1021
19,2009,758,926,1096,1299,1018
20,2010,777,949,1123,1329,1048
21,2011,819,977,1148,1356,1073
22,2012,837,1007,1183,1411,1108
23,2013,873,1032,1211,1461,1138
24,2014,896,1067,1251,1466,1170
25,2015,937,1103,1286,1516,1208
26,2016,957,1132,1326,1525,1240
27,2017,1013,1194,1403,1589,1308
28,2018,1081,1261,1468,1647,1370
29,2019,1142,1361,1563,1730,1465
30,2020,1204,1421,1637,1854,1536
31,2021,1217,1439,1680,1918,1570
32,2022,1306,1527,1779,2018,1665
